tool	CBMC 	CBMC 	CBMC 	CBMC 	CPAchecker 1.4-svn 18912M	CPAchecker 1.4-svn 18912M	CPAchecker 1.4-svn 18912M	CPAchecker 1.4-svn 18912M
run set	cbmc	cbmc	cbmc	cbmc	predicateAnalysis.ABEl	predicateAnalysis.ABEl	predicateAnalysis.ABEl	predicateAnalysis.ABEl
test/programs/benchmarks/	status	cputime (s)	walltime (s)	memUsage (MB)	status	cputime (s)	walltime (s)	memUsage (MB)
ssh/s3_srvr.blast.07_true-unreach-call.i.cil.c	TIMEOUT	60.02559213	60.478689432144165	811.438080	true	32.856355176	18.071974992752075	701.726720
ssh/s3_srvr.blast.08_true-unreach-call.i.cil.c	TIMEOUT	60.103748671	60.17094540596008	799.137792	true	48.05946917	31.079219579696655	2902.929408
ssh/s3_srvr.blast.09_true-unreach-call.i.cil.c	TIMEOUT	60.037022598	60.386581897735596	816.816128	true	27.630450578	15.716722249984741	722.419712
ssh/s3_srvr.blast.10_true-unreach-call.i.cil.c	TIMEOUT	60.038241479	60.39663076400757	796.602368	true	30.259228891	16.432743072509766	687.980544
ssh/s3_srvr.blast.11_true-unreach-call.i.cil.c	TIMEOUT	60.050778681	60.15185523033142	814.174208	TIMEOUT	61.224603822	45.029781103134155	2914.406400
ssh/s3_srvr.blast.12_true-unreach-call.i.cil.c	TIMEOUT	60.062430583	60.11725926399231	803.172352	true	37.969951736	22.956244230270386	1736.425472
ssh/s3_srvr.blast.13_true-unreach-call.i.cil.c	TIMEOUT	60.065674452	60.111292600631714	816.447488	OUT OF MEMORY	51.173798038	37.875956535339355	4000.002048
ssh/s3_srvr.blast.14_true-unreach-call.i.cil.c	TIMEOUT	60.061895485	60.10968255996704	803.966976	true	54.722927255	38.01971220970154	2912.804864
ssh/s3_srvr.blast.15_true-unreach-call.i.cil.c	TIMEOUT	60.77946326	61.52742862701416	801.054720	true	34.491085816	19.874998092651367	1230.516224
ssh/s3_srvr.blast.16_true-unreach-call.i.cil.c	TIMEOUT	60.041905289	60.13985848426819	807.804928	true	26.969318489	14.77264666557312	699.920384
